Country Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
World,"4,589.9","4,779.3","5,065.1","5,300.0","5,343.0","5,100.4","5,105.4","5,278.2","5,253.8","5,211.4","5,608.8","6,407.3","7,104.2","7,577.2","8,083.1","8,682.8","8,673.8","9,066.7","9,490.6",..
Afghanistan,..,..,..,..,..,..,..,..,..,..,..,200.0,230.0,270.0,300.0,290.0,370.0,410.0,..,..
Albania,320.0,410.0,670.0,910.0,800.0,890.0,980.0,"1,170.0","1,340.0","1,390.0","1,650.0","2,090.0","2,580.0","2,970.0","3,310.0","3,820.0","3,970.0","3,970.0","3,980.0",..
Algeria,"1,760.0","1,650.0","1,580.0","1,540.0","1,530.0","1,570.0","1,560.0","1,600.0","1,680.0","1,750.0","1,940.0","2,280.0","2,720.0","3,120.0","3,620.0","4,260.0","4,470.0","4,390.0","4,470.0",..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,"18,830.0","17,770.0","17,600.0","18,710.0","19,950.0","19,310.0","19,300.0","18,790.0","19,620.0","19,710.0","22,720.0","27,840.0","32,650.0","35,620.0","37,340.0","41,750.0",..,..,..,..
Angola,310.0,190.0,320.0,380.0,470.0,460.0,390.0,420.0,460.0,610.0,690.0,920.0,"1,270.0","1,780.0","2,590.0","3,330.0","3,880.0","3,960.0","4,060.0",..
Antigua and Barbuda,"6,770.0","7,150.0","6,890.0","7,110.0","7,610.0","7,730.0","8,010.0","8,490.0","9,230.0","9,630.0","10,260.0","11,260.0","12,000.0","13,440.0","12,940.0","14,060.0","13,500.0","12,450.0","12,060.0",..
Argentina,"7,100.0","7,570.0","7,360.0","7,730.0","8,140.0","8,010.0","7,560.0","7,460.0","6,990.0","4,040.0","3,670.0","3,580.0","4,480.0","5,170.0","6,050.0","7,190.0","7,580.0","8,620.0","9,740.0",..
Armenia,330.0,400.0,450.0,520.0,560.0,590.0,610.0,660.0,710.0,800.0,950.0,"1,150.0","1,470.0","1,920.0","2,570.0","3,340.0","3,050.0","3,200.0","3,360.0",..
Aruba,"14,940.0","15,320.0",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,"19,070.0","18,920.0","19,440.0","20,660.0","22,090.0","21,920.0","21,600.0","21,260.0","20,260.0","20,120.0","21,280.0","25,680.0","30,440.0","34,330.0","37,110.0","42,270.0","43,860.0","46,200.0",..,..
Austria,"24,320.0","25,560.0","27,570.0","29,630.0","28,950.0","27,280.0","26,430.0","26,000.0","24,420.0","24,110.0","27,020.0","32,520.0","37,210.0","39,640.0","42,500.0","46,790.0","46,630.0","46,920.0","48,300.0",..
Azerbaijan,590.0,440.0,400.0,400.0,450.0,510.0,570.0,610.0,660.0,720.0,820.0,950.0,"1,270.0","1,890.0","2,710.0","3,870.0","4,800.0","5,380.0","5,290.0",..
"Bahamas, The","11,410.0","11,690.0","14,280.0","15,950.0","13,650.0","15,770.0","18,990.0","20,350.0","20,970.0","21,460.0","22,030.0","23,340.0","24,410.0","24,760.0","24,960.0","24,920.0","23,420.0","21,970.0",..,..
Bahrain,"10,110.0","9,760.0","10,470.0","10,860.0","10,340.0","10,110.0","10,030.0","10,940.0","11,640.0","12,330.0","13,830.0","15,510.0","17,400.0","18,010.0","18,670.0","18,730.0","15,880.0","15,920.0",..,..
Bangladesh,320.0,320.0,330.0,350.0,360.0,360.0,370.0,380.0,380.0,380.0,400.0,440.0,480.0,500.0,520.0,570.0,640.0,700.0,770.0,..
Barbados,"6,270.0","6,560.0","6,860.0","7,180.0","7,840.0","8,200.0","8,620.0","9,090.0","8,790.0","8,550.0","9,350.0","10,350.0","11,000.0","10,750.0","11,060.0","11,610.0","12,660.0",..,..,..
Belarus,"1,590.0","1,460.0","1,370.0","1,450.0","1,530.0","1,550.0","1,400.0","1,380.0","1,300.0","1,370.0","1,610.0","2,150.0","2,780.0","3,470.0","4,250.0","5,430.0","5,590.0","5,990.0","5,830.0",..
Belgium,"22,990.0","24,640.0","26,580.0","28,090.0","27,980.0","26,030.0","25,560.0","25,430.0","23,940.0","23,440.0","26,380.0","32,040.0","36,610.0","38,850.0","41,450.0","45,180.0","44,700.0","45,780.0","46,160.0",..
Belize,"2,680.0","2,670.0","2,740.0","2,780.0","2,780.0","2,700.0","2,820.0","3,110.0","3,080.0","3,160.0","3,410.0","3,520.0","3,580.0","3,650.0","3,570.0","3,730.0","3,820.0","3,640.0","3,690.0",..
Benin,370.0,330.0,340.0,340.0,370.0,370.0,370.0,370.0,360.0,360.0,420.0,500.0,570.0,590.0,630.0,730.0,780.0,780.0,780.0,..
Bermuda,"29,830.0","30,700.0","33,210.0",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,490.0,530.0,550.0,620.0,680.0,640.0,650.0,720.0,770.0,810.0,890.0,"1,040.0","1,070.0","1,350.0","1,500.0","1,520.0","1,710.0","1,870.0","2,070.0",..
Bolivia,810.0,830.0,870.0,920.0,970.0,"1,000.0",990.0,"1,000.0",960.0,930.0,920.0,960.0,"1,030.0","1,120.0","1,240.0","1,490.0","1,640.0","1,810.0","2,040.0",..
Bosnia and Herzegovina,..,..,..,870.0,"1,120.0","1,430.0","1,460.0","1,510.0","1,610.0","1,760.0","2,030.0","2,550.0","3,020.0","3,350.0","3,820.0","4,560.0","4,760.0","4,740.0","4,780.0",..
Botswana,"3,090.0","2,760.0","3,000.0","2,930.0","3,150.0","3,300.0","3,140.0","3,120.0","3,320.0","3,070.0","3,620.0","4,310.0","5,070.0","5,600.0","5,950.0","6,450.0","6,270.0","6,750.0","7,480.0",..
Brazil,"2,740.0","3,050.0","3,730.0","4,460.0","5,050.0","4,870.0","4,130.0","3,860.0","3,290.0","3,050.0","2,950.0","3,310.0","3,960.0","4,800.0","6,110.0","7,490.0","8,150.0","9,540.0","10,720.0",..
Brunei Darussalam,"15,430.0","15,490.0","16,090.0","16,620.0","16,600.0","14,740.0","14,330.0","14,960.0","16,350.0","17,400.0","18,040.0","20,190.0","23,210.0","27,570.0","30,720.0","33,680.0","31,800.0",..,..,..
Bulgaria,"1,250.0","1,240.0","1,360.0","1,150.0","1,170.0","1,240.0","1,450.0","1,620.0","1,730.0","1,900.0","2,300.0","2,960.0","3,640.0","4,080.0","4,530.0","5,700.0","6,080.0","6,320.0","6,550.0",..
Burkina Faso,260.0,220.0,220.0,230.0,240.0,230.0,240.0,230.0,230.0,230.0,280.0,340.0,390.0,420.0,430.0,480.0,520.0,550.0,570.0,..
