Country Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
World,65.8,66.0,66.2,66.4,66.6,66.8,67.0,67.2,67.4,67.6,67.8,68.1,68.3,68.6,68.9,69.1,69.4,69.6,..,..
Afghanistan,43.2,43.5,43.8,44.1,44.4,44.7,45.0,45.3,45.6,45.8,46.1,46.4,46.6,46.9,47.2,47.5,47.9,48.3,..,..
Albania,71.5,71.6,71.9,72.2,72.7,73.2,73.7,74.2,74.7,75.2,75.5,75.9,76.1,76.3,76.5,76.6,76.8,76.9,77.0,..
Algeria,68.0,68.2,68.5,68.7,69.0,69.3,69.7,70.0,70.4,70.7,71.1,71.4,71.6,71.9,72.2,72.4,72.6,72.9,73.1,..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,41.5,41.7,42.1,42.5,43.1,43.7,44.4,45.2,46.0,46.7,47.4,48.0,48.5,49.0,49.4,49.8,50.3,50.7,51.1,..
Antigua and Barbuda,..,..,..,..,74.7,..,..,..,..,75.3,..,..,..,..,..,..,..,..,..,..
Argentina,72.2,72.4,72.6,72.8,73.1,73.3,73.5,73.7,73.9,74.1,74.3,74.5,74.7,74.9,75.1,75.3,75.5,75.6,75.8,..
Armenia,68.0,68.3,68.6,69.0,69.5,70.0,70.5,71.0,71.5,71.9,72.3,72.6,72.9,73.1,73.3,73.5,73.6,73.8,73.9,..
Aruba,73.5,73.5,73.6,73.6,73.6,73.6,73.7,73.7,73.8,73.9,74.0,74.1,74.2,74.4,74.5,74.7,74.8,75.0,75.1,..
Australia,77.9,77.9,77.8,78.1,78.5,78.6,78.9,79.2,79.6,79.9,80.2,80.5,80.8,81.0,81.3,81.4,81.5,81.7,..,..
Austria,76.1,76.5,76.7,77.0,77.4,77.6,77.8,78.0,78.5,78.7,78.6,79.2,79.3,79.8,80.0,80.2,80.1,80.4,..,..
Azerbaijan,64.2,64.3,64.6,65.0,65.5,65.9,66.4,66.8,67.1,67.6,68.0,68.5,68.9,69.4,69.7,70.1,70.3,70.5,..,..
"Bahamas, The",69.6,69.8,70.1,70.3,70.7,71.0,71.3,71.6,72.0,72.3,72.7,73.2,73.6,74.0,74.4,74.7,75.0,75.2,75.5,..
Bahrain,72.9,73.0,73.1,73.3,73.4,73.5,73.7,73.8,73.9,74.0,74.2,74.3,74.4,74.5,74.6,74.8,74.9,75.0,75.2,..
