Country Name,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
World,"5,916.9","6,577.9","7,023.5","7,520.2","8,379.7","9,086.1","8,491.5","9,157.6","10,036.8",..
Afghanistan,168.7,196.2,227.9,251.1,307.0,367.2,425.1,501.5,576.0,..
Albania,"1,819.4","2,388.7","2,666.1","2,893.2","3,377.2","4,076.4","3,795.7","3,700.7","4,029.7",..
Algeria,"2,131.3","2,624.2","3,111.7","3,508.9","4,005.2","4,966.6","3,951.9","4,566.9","5,244.0",..
American Samoa,..,..,..,..,..,..,..,..,..,..
Andorra,"26,563.3","30,842.1","32,607.8","35,349.5","39,874.8","44,952.4",..,..,..,..
Angola,905.1,"1,239.2","1,712.3","2,456.7","3,449.2","4,666.7","4,068.5","4,321.9","5,147.7",..
Antigua and Barbuda,"10,605.2","11,151.8","12,193.3","13,685.1","15,078.8","15,591.4","13,829.8","13,006.3","12,595.5",..
Argentina,"3,410.3","3,993.9","4,736.0","5,485.5","6,623.9","8,225.7","7,665.1","9,123.7","10,940.6",..
Armenia,917.2,"1,167.8","1,598.3","2,079.7","2,994.7","3,787.5","2,803.3","3,030.7","3,305.5",..
Aruba,..,..,..,..,..,..,..,..,..,..
Australia,"23,543.7","30,580.2","34,149.5","36,226.2","40,671.8","49,379.4","42,101.4","50,745.9","60,642.2",..
Austria,"31,268.6","35,662.2","37,067.3","39,299.6","45,181.5","49,679.4","45,638.1","44,885.1","49,707.1",..
Azerbaijan,883.6,"1,045.0","1,578.4","2,473.0","3,851.3","5,574.6","4,950.3","5,843.2","6,915.8",..
"Bahamas, The","22,402.6","22,540.6","24,130.4","24,580.1","25,296.4","24,715.7","22,807.4","22,664.9","22,431.0",..
Bahrain,"15,062.0","16,725.7","18,570.7","19,540.0","19,955.1","20,813.1","16,517.8","18,184.2",..,..
Bangladesh,380.3,408.0,428.8,434.8,475.2,546.8,607.8,674.9,735.0,..
Barbados,"10,003.7","10,461.3","11,108.9","11,771.8","12,551.5","13,484.5","13,181.3","15,034.9","13,452.6",..
Belarus,"1,805.3","2,355.5","3,090.4","3,797.8","4,666.6","6,328.2","5,182.6","5,818.9","5,820.3",..
Belgium,"30,039.0","34,706.7","36,011.5","37,918.8","43,255.3","47,375.8","43,849.4","42,832.6","46,469.2",..
Belize,"3,610.5","3,737.8","3,820.7","4,025.1","4,098.7","4,233.2","4,048.6","4,064.4","4,133.5",..
Benin,496.6,547.1,561.6,601.5,683.7,799.8,765.6,741.1,801.6,..
Bermuda,"66,452.8","70,848.4","76,543.0","84,862.5","92,110.1","95,170.2","90,161.1","89,739.3",..,..
Bhutan,978.5,"1,074.6","1,242.0","1,330.5","1,737.0","1,792.9","1,772.1","2,088.5","2,287.7",..
Bolivia,916.8,976.7,"1,044.0","1,230.4","1,386.4","1,733.6","1,774.2","1,978.9","2,421.3",..
