Country Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
World,"24,847,910,320,030.10","26,707,229,870,296.20","29,687,443,167,196.40","30,327,483,338,333.40","30,257,439,314,953.40","30,191,946,659,922.70","31,292,721,595,871.10","32,348,160,911,956.90","32,182,933,077,520.80","33,341,232,463,137.50","37,530,859,413,408.70","42,350,606,572,890.80","45,814,388,677,366.00","49,769,601,328,916.10","55,851,079,996,120.90","61,209,220,390,931.00","57,831,899,220,681.00","63,098,499,695,663.30","69,741,182,814,518.30",..
Afghanistan,..,..,..,..,..,..,..,..,"2,461,666,314.80","4,027,426,822.90","4,759,038,900.90","5,712,542,744.00","6,825,898,446.20","8,209,375,318.30","10,150,497,137.30","10,809,678,595.20","12,578,482,322.70","15,162,207,328.10",..,..
Albania,"1,216,071,331.40","1,990,672,849.60","2,468,098,952.90","3,085,017,852.60","2,245,823,713.80","2,788,132,389.50","3,495,464,332.60","3,790,484,795.30","4,236,568,354.70","4,576,968,782.70","5,819,787,877.90","7,646,346,950.00","8,540,849,440.50","9,385,534,432.40","11,006,013,531.70","13,135,414,079.70","12,009,368,923.10","11,753,670,224.80","12,899,531,803.30",..
Algeria,"48,196,458,745.50","40,807,745,357.10","39,574,054,587.40","44,381,497,306.60","45,957,862,427.60","46,187,778,797.30","46,350,611,900.00","52,080,059,225.60","53,490,989,043.90","54,822,811,330.80","65,318,781,836.80","81,414,292,672.20","97,259,100,183.10","112,669,320,524.20","134,003,556,324.90","169,689,269,622.00","139,576,526,509.70","155,537,972,095.50","181,167,029,776.50",..
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,"1,007,090,896.40","1,017,544,619.10","1,178,745,261.80","1,224,023,469.70","1,180,646,037.00","1,211,953,953.60","1,239,840,265.60","1,133,644,294.50","1,264,760,246.40","1,456,198,796.30","1,917,948,475.30","2,322,163,502.30","2,539,759,285.90","2,823,503,852.60","3,245,411,583.70","3,712,034,266.50",..,..,..,..
Angola,"3,239,442,259.50","1,942,981,221.70","3,687,554,142.40","5,882,266,716.80","6,413,146,828.10","5,230,357,203.70","4,717,451,804.00","7,449,435,856.40","7,375,055,487.50","9,790,552,246.10","12,229,787,232.30","17,294,644,097.70","24,202,824,060.50","35,611,612,425.60","52,849,976,124.00","70,460,487,893.90","68,669,244,656.50","74,299,130,327.90","90,046,011,819.90",..
Antigua and Barbuda,"433,637,017.50","473,588,898.30","467,485,194.70","497,977,780.80","557,696,274.60","598,999,977.60","628,407,396.30","758,007,812.50","769,188,973.80","781,756,590.30","827,917,539.50","878,703,487.10","981,176,247.10","1,115,835,958.80","1,243,131,425.90","1,293,511,461.30","1,163,467,870.70","1,121,881,547.20","1,097,023,431.70",..
Argentina,"233,681,495,182.80","253,881,206,387.00","253,395,812,779.00","266,685,694,540.80","286,714,501,035.30","291,543,840,284.10","276,031,727,361.00","276,655,968,946.00","260,969,968,132.00","94,560,779,450.30","121,626,100,717.00","144,211,468,319.40","176,984,530,064.50","208,884,158,684.40","255,510,075,854.20","319,508,116,281.70","297,638,577,107.20","358,594,578,479.20","435,335,480,122.00",..
Armenia,"1,102,577,578.30","1,314,624,315.40","1,466,464,586.00","1,641,664,593.80","1,738,092,424.40","1,954,126,437.40","1,900,422,181.50","1,964,463,665.40","2,182,923,204.70","2,464,539,523.20","2,901,554,573.70","3,684,033,821.30","5,032,955,714.20","6,599,622,264.20","9,485,061,181.80","12,133,205,348.50","8,814,606,795.40","9,709,821,794.70","10,802,858,877.50",..
Aruba,"1,120,000,023.80","1,231,284,942.40",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,"306,134,064,080.90","316,498,097,544.10","357,430,947,430.90","388,798,937,784.50","422,644,388,793.20","388,943,227,294.30","378,766,762,752.20","405,426,741,192.00","370,388,537,082.80","386,856,948,514.00","455,483,983,692.50","598,542,466,922.70","671,415,576,605.00","721,600,778,676.30","821,017,508,047.40","1,022,649,883,202.60","898,862,602,214.50","1,094,515,096,593.60",..,..
Austria,"186,718,606,411.90","199,377,525,599.30","234,843,058,550.60","233,169,617,884.10","205,418,982,974.40","210,456,475,100.00","208,540,191,775.00","188,828,378,478.00","187,609,831,767.30","204,967,970,073.40","251,495,788,939.10","289,258,620,625.40","302,023,476,595.50","321,459,751,788.00","370,521,202,018.00","413,350,229,611.50","379,258,109,059.90","374,581,794,736.80","417,009,705,938.90",..
Azerbaijan,"3,971,444,073.80","3,311,239,673.50","3,038,925,658.20","3,114,548,999.90","3,953,251,163.10","4,433,134,217.60","4,536,302,442.50","4,987,423,599.40","5,371,534,923.70","5,851,316,264.30","6,833,797,411.50","7,979,987,866.50","11,598,940,380.60","18,301,691,733.20","27,969,985,917.70","43,586,437,960.10","40,772,336,420.50","49,437,414,042.20","56,401,665,100.60",..
"Bahamas, The","2,985,400,000.00","3,141,300,000.00","3,882,158,510.00","4,421,275,578.00","4,790,893,912.00","5,331,452,375.00","5,931,272,115.00","6,216,952,330.00","6,388,750,725.00","6,823,495,688.00","6,853,117,324.00","7,016,413,009.00","7,576,221,927.00","7,840,487,963.00","8,127,296,486.00","8,180,801,533.00","7,657,898,352.00","7,427,835,764.00",..,..
Bahrain,"5,006,649,022.50","5,325,532,097.20","5,790,426,070.60","6,076,595,952.70","6,113,032,379.50","6,022,234,665.40","6,350,434,540.10","7,747,014,734.60","7,607,383,107.40","7,966,169,242.10","9,254,501,367.10","10,660,655,773.60","13,046,889,428.80","15,469,028,431.60","18,174,419,532.40","20,979,212,544.80","16,918,922,540.70","20,572,456,866.60",..,..
Bangladesh,"34,069,233,491.90","34,824,465,165.50","39,096,765,427.20","41,877,162,251.80","43,687,838,325.90","45,522,855,469.80","47,264,933,444.30","48,856,907,175.50","48,626,334,321.70","49,755,093,156.90","54,777,754,749.60","59,542,381,518.60","63,355,284,552.80","65,952,263,251.90","73,522,980,017.40","86,607,185,541.50","97,484,941,860.50","109,694,740,947.60","119,788,002,616.80",..
Barbados,"1,594,292,148.00","1,686,471,363.50","1,809,227,768.40","1,930,989,855.30","2,144,931,157.70","2,308,755,367.80","2,397,404,448.60","2,476,850,048.00","2,461,187,133.60","2,374,105,823.70","2,587,879,717.50","2,713,000,000.00","2,857,200,000.00","2,864,991,409.00","3,058,017,667.00","3,265,105,619.50","3,517,270,901.50",..,..,..
Belarus,"16,287,973,100.50","14,902,799,418.40","13,921,637,603.20","14,726,061,538.50","14,043,812,417.20","15,129,114,828.30","12,096,485,328.60","12,690,156,485.10","12,304,020,143.90","14,566,325,393.00","17,850,536,034.50","23,167,087,717.80","30,220,091,836.80","36,841,118,858.70","44,864,611,995.80","59,975,883,146.10","48,157,367,252.20","54,058,304,319.90","53,380,778,482.80",..
Belgium,"224,337,711,210.80","246,358,584,418.50","289,042,145,593.90","280,900,325,732.90","254,659,449,706.80","260,093,354,078.70","259,444,917,962.90","237,987,838,584.90","236,211,185,682.30","256,217,767,739.50","316,432,279,909.70","365,678,915,771.10","379,822,663,284.10","403,384,093,905.60","464,224,417,563.80","514,668,033,837.50","470,440,082,073.50","474,955,263,157.90","520,301,388,888.90",..
Belize,"539,959,653.30","558,960,211.30","598,631,771.90","617,471,333.40","630,898,121.10","659,772,440.70","690,951,865.80","775,311,228.70","796,917,195.40","857,195,539.20","903,049,088.30","942,953,706.30","1,000,474,607.80","1,087,804,430.00","1,117,801,655.90","1,198,350,000.00","1,240,700,000.00","1,242,550,000.00","1,331,000,000.00",..
Benin,"2,066,439,437.40","1,461,712,338.60","1,964,970,579.60","2,162,045,893.90","2,126,932,969.10","2,321,174,457.20","2,371,751,630.10","2,242,619,239.80","2,350,504,746.70","2,781,257,350.90","3,515,483,482.50","4,005,738,048.60","4,258,725,689.40","4,623,391,153.00","5,427,557,082.00","6,671,802,773.50","6,617,942,929.30","6,576,319,631.50","7,313,091,355.70",..
Bermuda,"1,822,390,016.00","1,869,240,064.00","2,033,030,016.00",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bhutan,"236,459,291.80","275,948,014.30","291,568,579.80","316,195,478.20","372,784,675.90","357,694,511.20","374,889,183.70","418,661,306.20","455,319,982.00","503,353,587.70","590,038,643.20","673,742,277.10","712,590,022.70","910,705,804.50","1,093,338,089.50","1,073,234,199.00","1,144,009,295.60","1,419,699,004.10","1,593,911,916.20",..
Bolivia,"5,530,103,516.10","5,793,418,963.40","6,493,964,449.90","7,232,652,017.80","7,729,533,799.40","8,335,313,275.80","8,088,978,590.60","8,172,328,205.80","7,930,353,227.10","7,700,785,150.10","7,780,586,605.60","8,388,731,818.00","9,172,840,080.40","11,054,072,770.30","12,631,064,539.90","16,138,616,192.60","16,666,184,097.90","18,789,591,707.30","23,441,068,238.50",..
Bosnia and Herzegovina,..,"1,090,802,465.40","1,624,572,992.70","2,564,045,391.90","3,443,816,537.80","4,925,981,415.20","5,413,652,013.50","6,095,878,846.20","6,287,487,285.70","7,159,975,847.70","8,902,936,585.50","10,529,312,184.10","11,416,036,116.20","12,791,995,382.00","15,740,377,886.60","19,212,852,007.20","17,661,055,472.70","16,925,800,956.40","18,315,682,561.80",..
Botswana,"4,453,941,216.20","4,115,195,818.90","4,741,298,835.30","4,547,027,654.00","5,034,898,271.50","5,310,115,926.60","5,604,703,441.00","5,281,156,336.40","5,896,800,624.80","5,393,170,606.00","7,371,004,695.00","9,089,072,268.60","9,419,873,717.70","10,482,713,161.10","11,640,885,508.20","12,811,375,674.30","11,496,389,735.50","14,698,643,758.30","17,397,713,058.80",..
Brazil,"427,629,234,952.70","537,116,130,142.30","757,886,441,876.80","827,517,530,911.30","855,025,264,484.20","825,523,208,190.80","568,068,793,040.10","626,767,928,395.70","534,237,309,752.60","486,500,392,370.90","534,548,586,285.30","643,766,837,606.80","856,882,497,945.80","1,061,994,025,735.30","1,337,850,433,711.40","1,613,693,878,663.40","1,589,584,247,632.60","2,104,365,502,024.70","2,429,812,966,346.70",..
Brunei Darussalam,"4,105,706,151.80","4,087,337,959.90","4,734,020,036.70","5,115,602,836.90","5,197,332,974.10","4,051,147,227.50","4,600,000,000.00","6,001,153,317.90","5,601,090,584.40","5,843,329,102.00","6,557,333,067.40","7,872,333,197.30","9,531,402,829.80","11,470,703,002.10","12,310,027,894.60","14,447,599,068.60","10,784,535,033.70",..,..,..
Bulgaria,"10,639,277,625.10","9,512,277,673.50","12,637,087,676.70","8,494,214,282.90","9,696,568,851.40","12,777,286,260.90","13,043,674,664.80","12,580,146,576.10","13,893,500,612.00","16,322,694,407.50","21,011,976,666.40","25,588,732,587.20","28,978,585,803.00","32,358,106,914.60","38,877,819,936.30","49,257,013,348.60","46,902,667,334.60","46,225,193,952.50","51,227,964,058.90",..
Burkina Faso,"2,318,405,415.90","1,881,042,631.10","2,369,472,457.50","2,593,463,296.70","2,445,473,660.30","2,802,114,234.70","3,009,392,197.80","2,605,959,518.00","2,806,550,496.30","3,287,817,022.00","4,269,044,267.90","5,102,269,015.40","5,419,915,340.30","5,842,309,063.90","6,753,586,962.60","8,347,566,539.40","8,342,693,345.60","8,818,902,977.00","10,187,635,552.60",..
Burundi,"928,818,579.20","913,654,989.90","988,018,268.90","855,125,492.40","960,396,267.90","885,470,806.10","796,772,713.40","847,414,908.30","834,601,251.70","793,718,954.20","777,011,712.00","918,755,195.30","1,135,041,051.10","1,246,160,037.50","1,325,234,836.40","1,624,994,103.20","1,821,422,632.10","2,032,712,949.60","2,332,488,557.10",..
Cambodia,..,..,"3,380,436,657.30","3,421,442,062.60","3,403,728,337.90","3,066,048,888.40","3,421,151,872.30","3,533,900,964.90","3,842,634,360.20","4,096,441,960.00","4,481,379,859.40","5,123,749,224.70","6,005,719,072.90","6,969,124,788.00","8,262,899,137.60","9,843,561,183.00","9,917,830,382.70","10,663,800,784.50","12,296,568,861.50",..
Cameroon,"12,802,074,198.80","8,673,334,742.20","8,205,298,504.90","9,141,681,779.30","9,231,357,081.50","9,160,349,255.80","10,018,756,218.30","9,464,407,544.00","9,177,403,575.60","10,207,479,301.50","13,096,543,880.70","15,373,570,974.60","16,126,241,149.00","17,705,763,234.70","20,605,932,826.40","23,407,496,606.70","22,050,619,011.70","22,250,174,185.40","25,163,917,572.00",..
