Country Name,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
World,"5,548,906,924.2","5,631,063,822.3","5,714,716,949.6","5,796,196,181.8","5,877,983,063.7","5,958,950,337.0","6,038,635,375.8","6,118,131,161.6","6,195,665,261.0","6,272,454,870.2","6,349,177,990.3","6,426,093,254.2","6,503,186,030.0","6,580,545,179.0","6,658,468,720.0","6,737,188,032.0","6,815,849,599.0","6,894,377,794.0","6,973,738,433.0",..
Afghanistan,"21,025,450.0","21,738,467.0","22,475,663.0","23,131,309.0","23,806,081.0","24,500,537.0","25,215,252.0","25,950,816.0","26,697,430.0","27,465,525.0","28,255,719.0","29,068,646.0","29,904,962.0","30,751,661.0","31,622,333.0","32,517,656.0","33,438,329.0","34,385,068.0","35,320,445.0",..
Albania,"3,224,901.0","3,179,442.0","3,141,102.0","3,112,597.0","3,091,902.0","3,079,037.0","3,072,725.0","3,071,856.0","3,077,378.0","3,089,778.0","3,106,701.0","3,124,861.0","3,141,800.0","3,156,607.0","3,169,665.0","3,181,397.0","3,192,723.0","3,204,284.0","3,215,988.0",..
Algeria,"27,169,903.0","27,751,086.0","28,291,591.0","28,786,855.0","29,242,917.0","29,673,694.0","30,099,010.0","30,533,827.0","30,982,214.0","31,441,848.0","31,913,462.0","32,396,048.0","32,888,449.0","33,391,954.0","33,906,605.0","34,428,028.0","34,950,168.0","35,468,208.0","35,980,193.0",..
American Samoa,"50,801.0","51,885.0","52,919.0","53,901.0","54,834.0","55,745.0","56,667.0","57,625.0","58,633.0","59,687.0","60,774.0","61,871.0","62,962.0","64,045.0","65,130.0","66,217.0","67,312.0","68,420.0","69,543.0",..
Andorra,"60,670.0","63,111.0","64,699.0","65,227.0","64,905.0","64,246.0","63,985.0","64,634.0","66,390.0","69,043.0","72,203.0","75,292.0","77,888.0","79,874.0","81,390.0","82,577.0","83,677.0","84,864.0","86,165.0",..
Angola,"11,371,750.0","11,742,960.0","12,105,105.0","12,452,725.0","12,792,237.0","13,138,265.0","13,511,575.0","13,926,373.0","14,388,244.0","14,890,474.0","15,419,943.0","15,957,460.0","16,489,021.0","17,010,366.0","17,525,367.0","18,037,964.0","18,555,115.0","19,081,912.0","19,618,432.0",..
Antigua and Barbuda,"65,238.0","66,895.0","68,642.0","70,450.0","72,322.0","74,190.0","75,985.0","77,656.0","79,165.0","80,507.0","81,716.0","82,838.0","83,916.0","84,952.0","85,935.0","86,881.0","87,802.0","88,710.0","89,612.0",..
Argentina,"33,982,035.0","34,420,352.0","34,855,160.0","35,287,113.0","35,714,929.0","36,134,642.0","36,541,029.0","36,930,709.0","37,302,116.0","37,657,340.0","38,001,251.0","38,340,778.0","38,681,174.0","39,023,850.0","39,368,066.0","39,714,298.0","40,062,470.0","40,412,376.0","40,764,561.0",..
Armenia,"3,370,373.0","3,290,540.0","3,223,173.0","3,172,185.0","3,134,836.0","3,109,101.0","3,090,624.0","3,076,098.0","3,065,810.0","3,061,067.0","3,060,554.0","3,062,612.0","3,065,954.0","3,069,844.0","3,074,181.0","3,079,087.0","3,084,979.0","3,092,072.0","3,100,236.0",..
Aruba,"72,573.0","76,762.0","80,323.0","83,069.0","85,161.0","86,827.0","88,442.0","90,271.0","92,363.0","94,596.0","96,875.0","99,046.0","100,996.0","102,711.0","104,225.0","105,526.0","106,612.0","107,488.0","108,141.0",..
Australia,"17,667,000.0","17,855,000.0","18,072,000.0","18,311,000.0","18,517,000.0","18,711,000.0","18,926,000.0","19,153,000.0","19,413,000.0","19,651,400.0","19,895,400.0","20,127,400.0","20,394,800.0","20,697,900.0","21,072,500.0","21,498,500.0","21,951,700.0","22,299,800.0","22,620,600.0",..
Austria,"7,905,633.0","7,936,118.0","7,948,278.0","7,959,017.0","7,968,041.0","7,976,789.0","7,992,324.0","8,011,566.0","8,042,293.0","8,081,957.0","8,121,423.0","8,171,966.0","8,227,829.0","8,268,641.0","8,300,788.0","8,336,926.0","8,365,275.0","8,389,771.0","8,419,000.0",..
Azerbaijan,"7,495,000.0","7,597,000.0","7,685,000.0","7,763,000.0","7,838,250.0","7,913,000.0","7,982,750.0","8,048,600.0","8,111,200.0","8,171,950.0","8,234,100.0","8,306,500.0","8,391,850.0","8,484,550.0","8,581,300.0","8,763,400.0","8,947,243.0","9,054,332.0","9,168,000.0",..
"Bahamas, The","270,701.0","275,426.0","279,774.0","283,677.0","287,217.0","290,571.0","293,988.0","297,651.0","301,606.0","305,801.0","310,201.0","314,739.0","319,358.0","324,066.0","328,861.0","333,661.0","338,358.0","342,877.0","347,176.0",..
Bahrain,"532,362.0","545,329.0","559,069.0","574,914.0","592,986.0","611,237.0","626,765.0","638,193.0","642,510.0","642,070.0","647,164.0","671,760.0","724,807.0","811,410.0","925,733.0","1,052,359.0","1,169,578.0","1,261,835.0","1,323,535.0",..
Bangladesh,"112,645,460.0","115,059,015.0","117,486,952.0","119,928,682.0","122,370,403.0","124,803,351.0","127,214,841.0","129,592,275.0","131,944,584.0","134,266,428.0","136,514,768.0","138,633,401.0","140,587,922.0","142,353,501.0","143,956,805.0","145,478,300.0","147,030,145.0","148,692,131.0","150,493,658.0",..
Barbados,"261,885.0","262,637.0","263,416.0","264,237.0","265,088.0","265,941.0","266,758.0","267,511.0","268,192.0","268,813.0","269,389.0","269,947.0","270,503.0","271,062.0","271,618.0","272,180.0","272,750.0","273,331.0","273,925.0",..
Belarus,"10,239,000.0","10,227,000.0","10,194,000.0","10,160,000.0","10,117,000.0","10,069,000.0","10,035,000.0","10,005,000.0","9,970,260.0","9,925,000.0","9,873,968.0","9,824,469.0","9,775,591.0","9,732,500.0","9,702,000.0","9,602,000.0","9,507,000.0","9,490,000.0","9,473,000.0",..
